3.569,3.409,3.265,3.955,3.574,3.955,1.803,7.236,1.601,7.782,1.757,7.236,1.482,12.156,1.306,12.156,1.609,12.156,0.903,22.545,1.247,21.451,1.019,22.545,0.559,26.918,0.892,31.839,0.983,33.479
3.619,3.955,3.315,3.955,3.624,3.955,1.853,8.329,1.651,8.876,1.807,8.329,1.532,13.25,1.356,13.797,1.66,13.25,0.953,24.732,1.297,24.185,1.069,24.732,0.609,30.199,0.942,35.12,1.033,36.76
3.669,4.502,3.365,4.502,3.674,4.502,1.904,8.876,1.701,9.423,1.857,8.876,1.582,14.343,1.406,14.89,1.709,14.343,1.003,26.918,1.347,25.825,1.119,26.918,0.659,32.933,0.992,38.4,1.083,39.494
3.719,4.502,3.415,4.502,3.724,5.049,1.953,9.969,1.751,9.969,1.907,9.423,1.632,15.984,1.456,15.984,1.759,15.437,1.053,29.105,1.397,28.012,1.17,28.559,0.709,36.213,1.042,40.587,1.133,42.227
3.769,5.049,3.465,5.049,3.774,5.049,2.003,10.516,1.802,11.063,1.957,10.516,1.682,17.077,1.506,17.077,1.809,17.077,1.103,30.746,1.447,30.199,1.219,30.746,0.76,38.947,1.093,43.868,1.183,44.961
3.819,5.595,3.515,5.595,3.824,5.595,2.054,11.063,1.851,11.61,2.007,11.063,1.732,18.171,1.556,18.171,1.859,18.171,1.153,32.933,1.497,31.839,1.269,32.386,0.81,41.681,1.142,46.055,1.233,47.695
3.869,5.595,3.565,5.595,3.874,6.142,2.103,12.156,1.901,12.156,2.057,11.61,1.782,19.264,1.606,19.264,1.909,19.264,1.203,34.573,1.547,33.479,1.319,34.573,0.859,43.868,1.192,48.788,1.283,49.882
3.919,6.142,3.615,6.142,3.924,6.142,2.153,12.703,1.951,13.25,2.107,12.703,1.832,20.358,1.656,20.904,1.959,20.358,1.253,36.213,1.597,35.666,1.369,36.213,0.909,46.601,1.242,50.975,1.333,52.615
3.969,6.142,3.665,6.689,3.974,6.689,2.203,13.797,2.001,13.797,2.157,13.25,1.882,21.451,1.706,21.998,2.009,21.451,1.303,37.853,1.647,37.307,1.42,37.853,0.959,49.335,1.292,53.709,1.383,54.802
4.019,6.689,3.716,7.236,4.024,7.236,2.253,14.343,2.052,14.343,2.207,13.797,1.932,22.545,1.756,22.545,2.059,22.545,1.353,39.494,1.697,38.947,1.469,39.494,1.009,51.522,1.342,55.896,1.433,56.989
4.069,7.236,3.765,7.236,4.074,7.236,2.303,14.89,2.101,15.437,2.257,14.89,1.982,23.638,1.806,23.638,2.109,23.638,1.403,41.134,1.747,40.587,1.519,41.134,1.059,54.256,1.392,58.63,1.484,59.723
4.119,7.236,3.815,7.782,4.124,7.782,2.353,15.437,2.151,15.984,2.307,15.437,2.034,24.732,1.856,24.732,2.159,24.185,1.453,42.774,1.797,42.227,1.569,42.774,1.109,56.443,1.442,60.817,1.533,61.91
4.169,7.782,3.865,7.782,4.174,8.329,2.403,16.53,2.202,16.53,2.357,15.984,2.082,25.825,1.906,25.825,2.209,25.278,1.503,44.414,1.847,43.321,1.619,44.414,1.159,58.63,1.492,63.004,1.583,64.097
