*******************************************************************************
Ephemeris / WWW_USER Tue Aug 25 13:12:44 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Dec-31 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : BOTH
EOP file        : eop.200824.p201115                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-AUG-24. PREDICTS-> 2020-NOV-14
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*************************************************************************************************************
 Date__(UT)__HR:MN Date_________JDUT     R.A._____(ICRF)_____DEC   APmag   S-brt            delta      deldot
*************************************************************************************************************
$$SOE
 2020-May-26 00:00 2458995.500000000     04 11 59.20 +21 07 06.4 -26.714 -10.589 1.01309709614646   0.2994326
 2020-May-27 00:00 2458996.500000000     04 16 02.48 +21 17 20.0 -26.714 -10.589 1.01326760009655   0.2910472
 2020-May-28 00:00 2458997.500000000     04 20 06.22 +21 27 11.4 -26.713 -10.589 1.01343333876990   0.2829471
 2020-May-29 00:00 2458998.500000000     04 24 10.40 +21 36 40.5 -26.713 -10.589 1.01359450414524   0.2752247
 2020-May-30 00:00 2458999.500000000     04 28 15.00 +21 45 47.0 -26.712 -10.589 1.01375133781941   0.2679582
 2020-May-31 00:00 2459000.500000000     04 32 20.00 +21 54 30.7 -26.712 -10.589 1.01390412056067   0.2612037
 2020-Jun-01 00:00 2459001.500000000     04 36 25.40 +22 02 51.5 -26.712 -10.589 1.01405315680621   0.2549853
 2020-Jun-02 00:00 2459002.500000000     04 40 31.18 +22 10 49.2 -26.712 -10.589 1.01419875354134   0.2492862
 2020-Jun-03 00:00 2459003.500000000     04 44 37.32 +22 18 23.6 -26.711 -10.589 1.01434119420059   0.2440411
 2020-Jun-04 00:00 2459004.500000000     04 48 43.81 +22 25 34.6 -26.711 -10.589 1.01448071034660   0.2391363
 2020-Jun-05 00:00 2459005.500000000     04 52 50.63 +22 32 22.1 -26.711 -10.589 1.01461745612458   0.2344199
 2020-Jun-06 00:00 2459006.500000000     04 56 57.78 +22 38 45.8 -26.710 -10.589 1.01475149137610   0.2297212
 2020-Jun-07 00:00 2459007.500000000     05 01 05.23 +22 44 45.8 -26.710 -10.589 1.01488277763274   0.2248744
 2020-Jun-08 00:00 2459008.500000000     05 05 12.98 +22 50 21.8 -26.710 -10.589 1.01501118735424   0.2197396
 2020-Jun-09 00:00 2459009.500000000     05 09 21.01 +22 55 33.8 -26.710 -10.589 1.01513652272985   0.2142145
 2020-Jun-10 00:00 2459010.500000000     05 13 29.30 +23 00 21.6 -26.709 -10.589 1.01525853826289   0.2082358
 2020-Jun-11 00:00 2459011.500000000     05 17 37.83 +23 04 45.2 -26.709 -10.589 1.01537696185369   0.2017731
 2020-Jun-12 00:00 2459012.500000000     05 21 46.58 +23 08 44.5 -26.709 -10.589 1.01549151122014   0.1948200
 2020-Jun-13 00:00 2459013.500000000     05 25 55.53 +23 12 19.4 -26.709 -10.589 1.01560190481285   0.1873841
 2020-Jun-14 00:00 2459014.500000000     05 30 04.66 +23 15 29.7 -26.708 -10.589 1.01570786799783   0.1794808
 2020-Jun-15 00:00 2459015.500000000     05 34 13.95 +23 18 15.5 -26.708 -10.589 1.01580913603734   0.1711285
 2020-Jun-16 00:00 2459016.500000000     05 38 23.37 +23 20 36.7 -26.708 -10.589 1.01590545554585   0.1623481
 2020-Jun-17 00:00 2459017.500000000     05 42 32.90 +23 22 33.1 -26.708 -10.589 1.01599658593551   0.1531635
 2020-Jun-18 00:00 2459018.500000000     05 46 42.50 +23 24 04.9 -26.707 -10.589 1.01608230208021   0.1436048
 2020-Jun-19 00:00 2459019.500000000     05 50 52.17 +23 25 11.8 -26.707 -10.589 1.01616239907090   0.1337127
 2020-Jun-20 00:00 2459020.500000000     05 55 01.86 +23 25 54.0 -26.707 -10.589 1.01623669947725   0.1235424
 2020-Jun-21 00:00 2459021.500000000     05 59 11.56 +23 26 11.4 -26.707 -10.589 1.01630506293127   0.1131674
 2020-Jun-22 00:00 2459022.500000000     06 03 21.23 +23 26 03.9 -26.707 -10.589 1.01636739713330   0.1026807
 2020-Jun-23 00:00 2459023.500000000     06 07 30.85 +23 25 31.7 -26.707 -10.589 1.01642366869450   0.0921926
 2020-Jun-24 00:00 2459024.500000000     06 11 40.38 +23 24 34.6 -26.707 -10.589 1.01647391181370   0.0818257
 2020-Jun-25 00:00 2459025.500000000     06 15 49.81 +23 23 12.8 -26.707 -10.589 1.01651823286011   0.0717058
 2020-Jun-26 00:00 2459026.500000000     06 19 59.10 +23 21 26.3 -26.706 -10.589 1.01655680952930   0.0619522
